OPC	NFOL	MOL	Astrocyte	Neuron	Microglia
Traf4	Col9a2	Dhcr24	Il17rd	Hecw1	Liph
Racgap1	Lpar1	Fnbp1	Spry2	Cntn5	Apbb1ip
Pcolce2	Osbpl1a	Igsf8	Slc1a4	Iqsec3	Rnase4
Sulf2	Samd4b	Spock3	4930417G10Rik	Syngr3	Arhgap30
Fignl1	Susd5	Gnai1	Trh	Fam65b	Rcsd1
Cdca3	Acsl1	Emilin2	Mcc	Slc2a13	Fam46c
Nuf2	Serinc5	Mtap1a	Gpc6	Gprin3	Tlr13
Nrg2	Neo1	Fam83d	Lgr4	Mia1	Myo18b
Pcsk2	Eif2c3	Pink1	Kcnn2	Cdh7	Asb10
Ccnb1	Reep5	Cdh19	Plagl1	Gpr149	Elf4
Mdk	Ptpre	Fth1	Cyr61	9430031J16Rik	Dock2
Cetn4	Kank1	Synpo	Echdc3	Htr2c	Spns3
Gpc5	BC057022	Fdps	Gabra4	Cdr1	Rcan1
Klhl13	Tjap1	Erbb3	Sorl1	Kcnip2	Ccl5
Sdr42e1	Pcdh7	Trim59	Plscr1	Nxph2	Cd163
Tpx2	Agpat4	Tmem63a	1600014C23Rik	Spock1	Ctsz
Pcdhb10	8430427H17Rik	Itpk1	Proca1	Gpr64	Tmem8c
Rcn1	Sox8	Cpm	Ddit4l	Syp	H2-Aa
Prss41	Cadm4	Nudt16	Pcsk9	Slc35f4	Msh5
Itih5	Rictor	Kif13b	Eepd1	Epha7	Rasa4
Lypd1	E330009J07Rik	Aacs	Tnfaip8	Tmem59l	Gngt2
Rrm2	Sema6a	Pcyt2	Lrtm2	Rab3b	Slc7a7
Sox6	Gal3st1	Unc5b	Sparcl1	Peli3	Cebpb
Serpina3n	Dock9	Sytl2	4932443I19Rik	Chgb	Itgae
Zdhhc23	Ehd3	Hist1h3d	Lgi4	Igf1	Kcnk12
Pcdhb2	Lcorl	Ppfia3	Tgfb2	Fmn1	Tmem173
Vat1l	Ubl3	Rffl	Hhipl1	Pou6f2	Lyl1
Tac1	Atrn	Rnf13	Il33	Gpr88	Clec4a3
Chga	Sec14l5	Snx33	Tulp3	Gprin1	Cd209g
Gm2a	Has2as	Leprel4	Dclk1	Palm3	Itgax
Adora1	Dixdc1	Omg	Tmprss7	Snap25	Gpr77
Mcm6	Lrrc42	Gsto2	Col4a5	Stac	S100a9
Aldh1a1	Tm7sf3	Kndc1	Kctd14	Syt7	Adcy7
Oprl1	Bcl7a	Pkp4	Papss2	Asphd1	Cst3
Inhbb	Ttll7	Taldo1	Snora28	Lin28b	Cd84
Spc24	Mpzl1	Bpgm	Hs3st3b1	Ipw	Rps6ka1
Rad54l	Tmem132b	Fn3k	Dnaic1	Tcp11	Tnfrsf11a
Pcdhb9	Cacnb4	Nudt4	Rgs7	Tuft1	Hspb3
6430704M03Rik	Ppm1l	Tmem81	Pou3f2	BC089491	Plek
Ptpru	Gas7	Usp54	Gldc	Aff2	Gpr132
Zdhhc2	C030019I05Rik	Snx15	P4ha2	Rab3c	Sla
Kcnk10	Pcdh17	Dpy19l1	Chst1	C030023E24Rik	Egr2
9430021M05Rik	Kcnq3	Gna12	Hyal1	Aox4	Abhd15
Serping1	Hipk2	Parm1	Olfml2a	Tekt2	S100a8
Cys1	Idh1	Tesk2	Dlk1	D130043K22Rik	Rapsn
1700025G04Rik	Sh3rf1	Evi2a	Boc	Kcnt1	Lsp1
Klc3	Tmem159	Fcho1	Rasl11a	Chrnb2	Naip2
S100a1	Ephx4	Slc4a2	Sox1	Mal2	AB124611
Lin7a	Alad	Faah	Ncrna00085	Nsg2	Cd209b
Fanca	Kirrel3	Ddr1	4933409K07Rik	Slc5a7	Fam110a
Ect2	Spsb1	Pla2g4a	Cd38	Syt5	Gal3st4
Adcy3	Steap2	Ly6g6d	Echdc2	E130003G02Rik	A630001G21Rik
2700023E23Rik	Arhgef10l	5031439G07Rik	Ntsr2	Cntnap5a	Lilrb4
Fancd2	Wasf1	Pde6d	Ddr2	1500009L16Rik	Lrrc33
Iqcj-schip1	Rap1a	Nrsn1	Sfrp1	Ctxn2	F13a1
Mcm5	Scrg1	Fam131b	3830431G21Rik	A930011O12Rik	Ptgs1
Adam9	Pfn2	Zfp651	Pde9a	Cntnap2	Lair1
Tmem35	3110035E14Rik	Fam177a	Glb1l	Itgbl1	Kcna7
Neto1	Ell2	Fgd3	Scg3	5730522E02Rik	Galnt12
Nlgn1	Cadm2	Thbs3	Wnt7a	Clvs1	Trpv2
Aebp1	Timp4	Ppp1r16b	Axl	Zdbf2	Cass4
Sema3d	Ept1	Nacad	Mmp14	Lefty2	Arhgdib
Htr5a	Pnpla3	Zcchc17	Tnfrsf19	Cdkl2	Npl
Extl1	Btbd16	Epb4.1l3	Dgkb	Dcx	Pik3cd
Spin2	Iffo1	Eml2	Acss1	Mmp24	Gm885
Olig2	Sorcs1	Ypel2	Aspg	Fat3	Gpsm3
Efcab1	Mink1	Hist2h3c1	Tekt5	Caln1	Myl2
Wdhd1	Tmem117	Slc44a1	Als2cl	Adamts15	Mafb
Angptl1	Llgl1	Jakmip3	Notch2	2610109H07Rik	Camp
Ptchd2	Gpr176	Atg4c	P2rx6	H2-M5	Trim14
Rbp4	Golga7	Spg20	Znrf3	Rnf152	Nfkbie
Unc80	Abca2	Jph1	Id3	Nrip3	Plcg2
Uhrf1	B930003M22Rik	Wscd1	Hey2	Trfr2	Fmnl1
Kif2c	Slc4a8	Dip2a	Sned1	Zmat4	Gm11428
Gfra1	Wfikkn1	Sspn	Gm11128	Tmem91	I830077J02Rik
Pcbd1	Padi2	Pigq	Baalc	Vstm2a	Ier5
Shh	Efs	Vmp1	Ephb3	Disp2	Emp3
Fbxo17	Sox10	Fntb	Dhtkd1	Npy2r	Gpr34
E130306D19Rik	Cyp2j6	R3hcc1	Lix1	Htr1d	Mrc1
Abcb4	Gramd3	Osbpl1a	Ddhd1	Nptxr	Hk2
Cenpm	2810410L24Rik	H2afj	Rgma	Spint2	Gm11545
Siah3	Ncam2	Hist1h4n	S1pr1	Prmt8	Pilra
Galnt10	Gng12	Tmem28	Odz3	Grin2d	Lbx1
Gpr75	Ankrd28	Erp27	Fam198a	AW555464	Dok1
Cdca8	Trim59	Trim36	Grm5	Prrt2	Rrad
Dfna5	Dlg1	Dact3	Thbs4	9030425E11Rik	Gpr35
Neto2	Rassf10	Gm6194	2810030E01Rik	Efna5	Mmp9
Col4a6	Rasal1	Hist1h2br	Adamts6	2410137F16Rik	Gpr114
Eda2r	Sh3gl3	Klc1	C2cd4b	Ankrd55	Phf15
Aard	Fam102a	Hhip	Hectd2	Ngfr	Cdh23
Slc7a3	Bcat1	Hist1h2ae	Pdyn	Slc6a17	Grn
6530411M01Rik	Asap3	Usp30	Ston2	Pcdha5	Il1rn
Kntc1	Wnt3	Ppp2r2c	Evc	D3Bwg0562e	Tgm2
Col6a1	Epb4.1l2	Gstm7	Tom1l1	Odz4	Lat2
Prc1	Tmcc2	Myh14	Sp5	Pkib	Efhd2
Nlgn3	Gm88	1110032A03Rik	Nr4a2	Rspo3	Ptpn18
