OPC	NFOL	MOL
Cenpm	2810410L24Rik	H2afj
Siah3	Ncam2	Hist1h4n
Galnt10	Gng12	Tmem28
Gpr75	Ankrd28	Erp27
Cdca8	Trim59	Trim36
Dfna5	Dlg1	Dact3
Neto2	Rassf10	Gm6194
Col4a6	Rasal1	Hist1h2br
Eda2r	Sh3gl3	Klc1
Aard	Fam102a	Hhip
Slc7a3	Bcat1	Hist1h2ae
6530411M01Rik	Asap3	Usp30
Kntc1	Wnt3	Ppp2r2c
Col6a1	Epb4.1l2	Gstm7
Prc1	Tmcc2	Myh14
Nlgn3	Gm88	1110032A03Rik
Cdh24	Inpp4a	Abhd4
Ntn4	Rasgef1b	Hist2h3c2-ps
Unc5c	S100a6	Scd2
Igsf21	Zdhhc12	Ccdc74a
Lace1	Lrrc8b	Ube2d1
Grik1	Ermn	Clmn
Fam114a1	S100a1	Otud7b
Aspm	Trio	Zbtb7b
Ptpn5	S1pr5	Cyp27a1
4922501L14Rik	Dock6	Crtac1
Slitrk5	Rtkn	Ttyh2
Sostdc1	Tprn	Aldh3b1
G0s2	Dscam	Abcb10
Ube2c	Cdc37l1	Metrn
Zcchc24	Gnptab	4930506M07Rik
Cmtm4	Thra	Hist3h2ba
E030003E18Rik	Dip2a	Secisbp2l
Tceal6	Usp20	Kcnk13
Itgb8	Txndc16	Tnfaip6
Gabrb2	Grik2	Mapk3
C1qtnf2	Zfp579	Tmem189
Zdhhc15	Tspan17	Depdc1b
Melk	Nkain2	Pcdh9
Serpine2	Cldn14	Hmox2
Sox5	Elfn2	Fam53b
Cpxm1	Anks1b	Phactr1
Necab2	Tmem170	St6galnac3
Prkg1	Brdt	Coro2b
AF529169	Syt11	Degs1
Mis18bp1	Zfp536	Adcy5
1810010H24Rik	Srcin1	Nipa1
Chrm1	Sema4a	Pllp
Tshz3	Unc5c	Arhgap23
Dlgap5	Stam	Phldb1
2410127L17Rik	Elavl3	Tmem159
Gjb2	Atp6v0a2	Dync1li2
Nrxn2	Deb1	Klhl35
Bves	Phyhipl	Ptpdc1
Troap	Fam83d	Rnf220
Enpp1	Katnal1	Pcbp4
Hmmr	Rapgef1	Sepw1
Flrt1	Enpp4	Diras1
Tmie	Micall1	Mfsd3
Rasl12	Aldh3b1	Dcps
Pter	Kcnj12	Wrap53
Maneal	Hist1h2be	Dusp19
Gria4	Mobp	Hist1h2bj
Ptprn	5330426P16Rik	Deb1
Fam149a	1700021K19Rik	Rtkn2
Tmem132b	Spg20	Mgst3
Myb	Sh3bp4	Hdac11
Ptk7	Gamt	Trim13
Fbn1	Mtap1a	Cyth1
Zfp462	Psat1	Enpp4
Kcnd3	Cplx3	Sv2a
Dscc1	Pcbp4	Adamts4
Plk1	Jakmip3	Arpc1a
Ltk	Fryl	Mon2
Kctd4	Atcay	1110057K04Rik
Epdr1	1700112E06Rik	Ablim2
Ednrb	Rgnef	Prrg1
Epb4.1	Ptpn11	Pea15a
Ccna2	Entpd5	Acsl1
Ankrd6	Tmem151a	Frmd5
Spire2	Setd8	Kif1a
6030405A18Rik	Add1	Entpd5
Cenpv	Ctps	Rph3a
Dhrs13	Ncam1	Llgl1
Cdc7	Klhl5	1810044D09Rik
Pcdha11	Rbpjl	Sema4d
Gabrb3	Plekhh1	Ebp
Ckap2	Gpr37	Rgnef
Svep1	Dpy19l1	Pdk3
Chpt1	Rap1gap	Prss12
Tceal3	Ptpn14	Piga
Kif26b	Nkx6-2	Scrn1
Kcnh5	Lss	C630043F03Rik
Efs	Stk39	Ipo13
Ak5	Ccnyl1	9930012K11Rik
Prrx1	Fa2h	Camk2a
Acpl2	Ankrd23	Gcat
Foxm1	Ggct	Cyp51
Rep15	Gsto2	Svip
Pou3f1	Bdh1	Guk1
1600021P15Rik	Peli1	5330426P16Rik
Usp24	Amz1	Bnip3
Psrc1	S100b	Lrrc28
Sez6	Exog	Tsc22d4
Igfbp3	Fktn	Gm10863
Sh3d19	Slc25a29	Psat1
Kctd15	Adam23	Jam3
Ttk	Arpc1a	Gng7
Abca8b	Hist1h2br	Rhog
Hap1	Faah	1810020D17Rik
Afap1l2	Mcam	Capn5
Iglon5	Rnf144a	Aes
1-Mar	Zdhhc9	Ldlrap1
Scfd2	Tbc1d8	Acaca
Gpr25	Stxbp3a	Mid1ip1
Gas2	Clip3	Atp10b
Sorcs1	Tgfa	Tpd52
Arhgap10	Nt5e	Stx2
Itga9	Dock4	Pld6
Cdc20	Aplp1	Hist1h2bg
Unc79	Mitf	Tmem205
Fam64a	2810405K02Rik	Farp2
9930021D14Rik	Ly6g6d	Dixdc1
Prim1	Apbb1	Ywhaq
Robo1	Rtn4	Cyb5r3
Gpnmb	Mtap	8-Mar
Lrrtm2	Zfp276	Ilvbl
Ngb	Man1a2	Slc35a2
Lrrn1	Prkcz	Ralgds
Fhl2	Snx22	Ptgds
Ehd3	Nudt4	4933431E20Rik
Pgcp	Sox6	Ell2
Cdc6	Atat1	Ptprd
Dmrtb1	Pcyt2	Calm3
D2Ertd750e	Mtmr10	Gstm5
Bmp7	Dcbld2	1110007C09Rik
Bean1	Hist1h2bn	Glod4
Arhgap24	Pld1	Cdc42ep1
Cyp2j9	Smad7	Ankrd13b
Frmd3	Acap3	Ankrd40
Chadl	Dusp19	Hist2h3b
Tpm1	Ttc39c	Rbm11
Plscr4	Arhgap23	Pip4k2a
Wbscr17	Specc1	Stard10
Chrm2	Man1c1	Ccnyl1
S100a16	Zeb2	Ank
Pcdhac1	Spnb1	Mtap7d1
E130114P18Rik	Tmbim1	Slc6a9
S1pr2	Tmem14a	Acot6
Cdh13	Epb4.1l4b	Ptpla
Lpl	Npr2	Rap1a
Mcm2	Slc27a4	Cyb5d2
Tnr	Tmcc3	Peg12
Rnf150	6030405A18Rik	Hist1h1c
Mtss1l	Ctsk	Stac2
Has2	Vcan	1810037I17Rik
Kif11	Dgat2	St3gal4
Tox3	Cdh13	Dock10
Mxd3	1810058I24Rik	Mvk
BC068157	Ywhaq	Zdhhc12
Kif22	Map4k4	Asah2
1700066M21Rik	Gtf2h1	Tmeff1
B3gnt5	Utp14b	Urm1
Rad51	Csad	Me1
Scrg1	Ypel2	Mpst
Mcm10	H2-Ab1	Pmvk
Shc2	Cdyl	Pvrl1
